Date : 2023-05-01 22:14:21
Directory : c:\Users\liamw\Documents\Documents 2.0\University [Level 6]\FYP\MonsterRanger
Total : 201 files,  36072 codes, 3734 comments, 6715 blanks, all 46521 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| ShaderLab |         65 |     19,890 |      2,704 |      4,217 |     26,811 |
| C#        |        117 |     10,830 |        956 |      2,357 |     14,143 |
| XML       |          5 |      2,381 |         17 |          5 |      2,403 |
| Log       |          7 |      1,998 |          0 |         54 |      2,052 |
| JSON      |          4 |        731 |          0 |          5 |        736 |
| Cg        |          3 |        242 |         57 |         77 |        376 |
+-----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                   |        201 |     36,072 |      3,734 |      6,715 |     46,521 |
| . (Files)                                                                                                                                                                                           |          2 |      1,923 |         14 |          2 |      1,939 |
| Assets                                                                                                                                                                                              |        190 |     31,581 |      3,720 |      6,657 |     41,958 |
| Assets\Imports                                                                                                                                                                                      |        147 |     30,697 |      3,719 |      6,392 |     40,808 |
| Assets\Imports\Boing Kit                                                                                                                                                                            |         93 |     12,871 |      1,212 |      2,808 |     16,891 |
| Assets\Imports\Boing Kit\Editor                                                                                                                                                                     |          1 |        353 |         32 |         52 |        437 |
| Assets\Imports\Boing Kit\Examples                                                                                                                                                                   |         45 |      2,707 |        308 |        555 |      3,570 |
| Assets\Imports\Boing Kit\Examples\Boing Behavior                                                                                                                                                    |          1 |         23 |          9 |          4 |         36 |
| Assets\Imports\Boing Kit\Examples\Boing Behavior\Parented Object Stress Test                                                                                                                        |          1 |         23 |          9 |          4 |         36 |
| Assets\Imports\Boing Kit\Examples\Boing Bones                                                                                                                                                       |          7 |        246 |         64 |         85 |        395 |
| Assets\Imports\Boing Kit\Examples\Boing Bones\Jellyfish UFO Bunny                                                                                                                                   |          1 |         21 |          9 |          9 |         39 |
| Assets\Imports\Boing Kit\Examples\Boing Bones\Length Stiffness Comparison                                                                                                                           |          1 |         50 |          9 |         16 |         75 |
